dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,42,0.1,0.01,1,0.1,0,0.06462010017744287,adam,16,hash,10,0.3660833333333333,0.1135,1.0
mnist,False,False,42,0.1,0.001,1,0.1,0,0.06462501415361667,adam,16,hash,10,0.36538333333333334,0.1135,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006303034598801863,adam,16,shs,10,0.9970166666666667,0.9935,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.000695404375121287,adam,16,shr,10,0.9965333333333334,0.9939,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.000633343236335774,adam,16,static,10,0.9970166666666667,0.9943,1.0

mnist,False,False,42,0.01,top-left,1,0.1,0,0.0007141778763250311,adam,16,static,10,0.9965,0.9932,1.0
mnist,False,False,42,0.01,top-left,1,0.1,0,0.0007412503993827234,adam,16,shs,10,0.9965,0.9934,1.0
mnist,False,False,42,0.01,top-left,1,0.1,0,0.0006981880966919334,adam,16,shr,10,0.9965166666666667,0.9938,1.0
